"","gene","module"
"1","ABCB7",1
"2","ADAMTS2",1
"3","AMDHD2",1
"4","AP4S1",1
"5","ARAP3",1
"6","ARHGAP26",1
"7","ARL13B",1
"8","ATG16L1",1
"9","ATG16L2",1
"10","ATG4C",1
"11","ATPAF1",1
"12","ATR",1
"13","ATXN1L",1
"14","BCL2L13",1
"15","BECN1",1
"16","BTBD3",1
"17","C12orf60",1
"18","C6orf89",1
"19","CLASRP",1
"20","CLUH",1
"21","CNST",1
"22","COMMD5",1
"23","DLG3",1
"24","DMD",1
"25","DUBR",1
"26","DVL1",1
"27","ECH1",1
"28","EDC4",1
"29","EIF5AL1",1
"30","EMC7",1
"31","ENPP4",1
"32","EXD2",1
"33","FAAP24",1
"34","FAM234B",1
"35","FBXO46",1
"36","FBXW2",1
"37","FBXW8",1
"38","FKBP9",1
"39","FLII",1
"40","FSIP1",1
"41","GALNT16",1
"42","GAN",1
"43","GPR20",1
"44","GPR89B",1
"45","GPSM3",1
"46","GTPBP2",1
"47","HYAL1",1
"48","KANSL1-AS1",1
"49","KAT2B",1
"50","LIMK1",1
"51","LINC01184",1
"52","LPCAT3",1
"53","MAGI2-AS3",1
"54","MAP1LC3B2",1
"55","MCF2L",1
"56","MED15",1
"57","MED16",1
"58","METTL1",1
"59","MKI67",1
"60","MSI1",1
"61","MSL2",1
"62","MTMR9",1
"63","NBPF3",1
"64","NFX1",1
"65","NOA1",1
"66","NR2C2",1
"67","NUDT8",1
"68","NUP155",1
"69","OBSL1",1
"70","OCLN",1
"71","OSTM1",1
"72","PASK",1
"73","PER2",1
"74","PEX7",1
"75","PGGT1B",1
"76","PHF1",1
"77","PLCB3",1
"78","PLD2",1
"79","PMS2",1
"80","POMZP3",1
"81","PPP1R12C",1
"82","PRR5L",1
"83","PUS1",1
"84","QRICH2",1
"85","RALGDS",1
"86","RARA-AS1",1
"87","RBM14",1
"88","RDH5",1
"89","RIMS1",1
"90","RNF31",1
"91","RPGR",1
"92","SCFD1",1
"93","SHC1",1
"94","SHC3",1
"95","SLC30A6",1
"96","SLC35A3",1
"97","SLC39A14",1
"98","SMG5",1
"99","SNX10",1
"100","SNX19",1
"101","SSH1",1
"102","STT3A",1
